company_link,company_name,description,employment_type,full_text,key,link,location,position,publish_date,salary,scraping_date,seniority_level,source
https://jobs.dou.ua/companies/dataart/,DataArt,"{""Required skills"": [""5+ years of engineering experience, 2+ years working with data in the cloud, ideally using AzureExperience working with the Azure Data Platform (Azure SQL, Azure Data Factory, Azure Storage, Azure Functions)Experience supporting Business Intelligence teams and productsExpertise in SQL and comfortable designing, writing, and maintaining complex SQL-based ETLExperience building batch and micro-batch data pipelines; ETL design, implementation, and maintenanceExperience with schema design and data modeling, and analytical skills to QA the data and identify gaps and inconsistencies.Understanding of data warehouse layers, approaches to load data into such layers, and relevant algorithmsExperience in designing a data platform architecture with relation to the infrastructure.Knowledge of Python or ScalaExperience in parallel computingExperience working with GitSpoken English""], ""We offer"": [""DataArt offers:"", ""Professional Development:"", ""Experienced colleagues who are ready to share knowledge;"", ""The ability to switch projects, technology stacks, try yourself in different roles;"", ""Over 150 courses for workplace-based training"", ""Study and practice of English: courses and communication with colleagues and clients from different countries;"", ""Support of speakers who make presentations at conferences and meetings of technology communities."", ""The ability to focus on your work: a lack of bureaucracy and micromanagement, and convenient corporate services;"", ""Lack of dress code, friendly atmosphere, concern for the comfort of specialists;"", ""Flexible schedule and the ability to work remotely;"", ""The ability to work in any of our development centers.""], ""Project description"": [""We are assembling a team that will develop and upgrade the systems of the international association of financial industry professionals. The company that unites 200 thousand investment experts uses more than a hundred different applications.""]}",,"Required skills 5+ years of engineering experience, 2+ years working with data in the cloud, ideally using AzureExperience working with the Azure Data Platform (Azure SQL, Azure Data Factory, Azure Storage, Azure Functions)Experience supporting Business Intelligence teams and productsExpertise in SQL and comfortable designing, writing, and maintaining complex SQL-based ETLExperience building batch and micro-batch data pipelines; ETL design, implementation, and maintenanceExperience with schema design and data modeling, and analytical skills to QA the data and identify gaps and inconsistencies.Understanding of data warehouse layers, approaches to load data into such layers, and relevant algorithmsExperience in designing a data platform architecture with relation to the infrastructure.Knowledge of Python or ScalaExperience in parallel computingExperience working with GitSpoken English We offer DataArt offers:• Professional Development:— Experienced colleagues who are ready to share knowledge;— The ability to switch projects, technology stacks, try yourself in different roles;— Over 150 courses for workplace-based training— Study and practice of English: courses and communication with colleagues and clients from different countries;— Support of speakers who make presentations at conferences and meetings of technology communities.• The ability to focus on your work: a lack of bureaucracy and micromanagement, and convenient corporate services;• Lack of dress code, friendly atmosphere, concern for the comfort of specialists;• Flexible schedule and the ability to work remotely;• The ability to work in any of our development centers. Project description We are assembling a team that will develop and upgrade the systems of the international association of financial industry professionals. The company that unites 200 thousand investment experts uses more than a hundred different applications. Advanced technological solutions, skilled technical specialists, and the importance of human relations is what makes the work on projects of this company comfortable and interesting. Minimum viable bureaucracy and openness to new solutions allow every developer to significantly influence the products created. In the future, the DataArt team that cooperates with the client will be expanded to several dozens of people: engineers, testers, architects.",Senior Data Engineer@DataArt,https://jobs.dou.ua/companies/dataart/vacancies/131590/?from=list_hot," Kyiv, Kharkiv, Lviv, Dnipro, Odesa, Kherson, Lublin (Poland), Sofia (Bulgaria), Wroclaw (Poland)",Senior Data Engineer,11 September 2020,,2020-10-13,,dou
https://jobs.dou.ua/companies/appflame/,appflame,{},,"appflame — is a young and fast-growing company. It launches and develops its products in social discovery / social network / dating niches. Our products operate primarily on Tier-1 markets, such as the USA, Great Britain, Canada, and Australia. The speed of project development from the first idea to a ready-to-use product, the absence of bureaucracy, result-oriented work, data-driven development, and decision making are our key advantages. We are fans of the data analysis. We like making hypotheses, coming up with new ideas and implementing them on our products. All the members of our young but already big team love what they do. Responsibilities:• Forming different hypotheses in the area of product development (with the aim of increasing the metrics of involvement and monetization);• Running split tests to verify different hypothesis;• Operational monitoring of key metrics and determining the causes of deviations from the expected values;• Providing analytical support in other areas of the project (Developers, PM, Marketing);• Proactive involvement in Product Management process. Requirements:• Proficiency in SQL (Vertica, Clickhouse);• Advanced knowledge of statistics;• Practical experience in big database management;• Basic skills of Machine Learning (theory and practice);• Ability to formulate product development hypotheses and lead a data-driven product management process;• 2+ years of experience in analytics/machine learning;• Experience BI and data visualization tools (Tableau is a plus);• Experience in data-driven Product management is a plus. What we offer:For our employees we offer the best working conditions comparable with those modern corporations can provide:💸 Competitive salary based on highest market benchmarks, regular performance, and compensation review based on results achieved.📕 Continuous growth and development opportunities: free English courses, fiction and non-fiction literature, courses / seminars / exhibitions / conferences, and everything else you may need for your personal and professional development.🚑 Full medical insurance after the probation period, as well as a corporate doctor.🏫 Comfortable, spacious offices with new repair near Taras Shevchenko and Kontraktova Ploshcha metro stations. Free parking for all staff, shower.💻 Modern working equipment, and everything else you may need for productive work.✈️ Team travels. In just two years of working together, we have already visited Cyprus, Egypt, Sri Lanka, and Spain.🏓 Games room with ping-pong, sports corner, table games and PlayStation, nap room.🏃‍♂️Office yoga, team participation in different sports events worldwide. Football, basketball, and running trainings.🍔 Free meals (breakfast and lunch), drinks/juices/snacks, fresh fruits, sweets.",Middle Data Analyst@appflame,https://jobs.dou.ua/companies/appflame/vacancies/124561/?from=list_hot, Kyiv,Middle Data Analyst,23 September 2020,,2020-10-13,,dou
https://jobs.dou.ua/companies/youscan/,YouScan,"{""Tell me\u00a0about your company"": [""YouScan.io is a social media listening solution that gives businesses the ability to become better by listening to their customers.YouScan was recognized as #1 solution in Visual Analytics in the world in Martech Challenge conducted by independent experts.Our customers are Pepsico, Google, L\u2019Oreal, Nestle and many other well-known brands.We\u2019re a Ukrainian product company with a strong internal culture.Each year we double our social media coverage, so we\u2019re always looking for a professional to join our team in the Kyiv office.""], ""Tell me\u00a0about your team"": [""You may have heard the joke that data is the new oil, believe it or not, but we are fueling the entire company:)""], ""What would be\u00a0my\u00a0responsibilities if\u00a0I\u00a0apply?"": [""You will be a part of the Data Squad, responsible for collecting, structuring, and storing huge amounts of data, ~400M new mentions in social media daily. That\u2019s one of our four product squads, and it consists of 3 back-end engineers and 1 tech support at this moment.""], ""What\u2019s your stack and tools?"": [""You will expand data collection for major social platforms, make it faster and more cost-effective. We also consider you to improve our crawlers, make them smarter, but still predictable. You\u2019ll work on ranking & discovery mechanisms.You will dive deep into various small and large social platforms to understand their mechanics and opportunities to get more value for our clients.You will participate in architectural discussions, write clean code, and deploy it to production (we deploy many times a day).We also expect you to support your code running in production"", ""proper monitoring with metrics, logs, and alerts will be your friend.""], ""Sounds good, what\u2019s your requirements?"": [""We use C# as our main language, always relying on async IO and utilizing TPL DataFlow for complicated processing pipelines.Microservices are hosted on Azure. We extensively use Azure Queues and Tables Services for communication and storage, and Redis when needed.We\u2019re mostly using .NET Core and Docker Swarm, write our Infrastructure as a code, run it with Terraform. We use Jenkins for build and deploy.We love predictability: metrics on Prometeus + ELK for logs, alerts integration to Slack.Oh, and Fiddler and TestDriven code runner are our daily tools as well.""], ""Anything else?"": [""We\u2019re looking for a real teammate"", ""you share your vision, communicate, bring in your own ideas.The person with analytical skills, the ability to manage tons of details easily, and think fast.You also listen and hear other points of view, can look with another person\u2019s eyes.""]}",,"Tell me about your company YouScan.io is a social media listening solution that gives businesses the ability to become better by listening to their customers.YouScan was recognized as #1 solution in Visual Analytics in the world in Martech Challenge conducted by independent experts.Our customers are Pepsico, Google, L’Oreal, Nestle and many other well-known brands.We’re a Ukrainian product company with a strong internal culture.Each year we double our social media coverage, so we’re always looking for a professional to join our team in the Kyiv office. Tell me about your team You may have heard the joke that data is the new oil, believe it or not, but we are fueling the entire company:) You will be a part of the Data Squad, responsible for collecting, structuring, and storing huge amounts of data, ~400M new mentions in social media daily. That’s one of our four product squads, and it consists of 3 back-end engineers and 1 tech support at this moment. What would be my responsibilities if I apply? You will expand data collection for major social platforms, make it faster and more cost-effective. We also consider you to improve our crawlers, make them smarter, but still predictable. You’ll work on ranking & discovery mechanisms.You will dive deep into various small and large social platforms to understand their mechanics and opportunities to get more value for our clients.You will participate in architectural discussions, write clean code, and deploy it to production (we deploy many times a day).We also expect you to support your code running in production — proper monitoring with metrics, logs, and alerts will be your friend. What’s your stack and tools? We use C# as our main language, always relying on async IO and utilizing TPL DataFlow for complicated processing pipelines.Microservices are hosted on Azure. We extensively use Azure Queues and Tables Services for communication and storage, and Redis when needed.We’re mostly using .NET Core and Docker Swarm, write our Infrastructure as a code, run it with Terraform. We use Jenkins for build and deploy.We love predictability: metrics on Prometeus + ELK for logs, alerts integration to Slack.Oh, and Fiddler and TestDriven code runner are our daily tools as well. Sounds good, what’s your requirements? We’re looking for a real teammate — you share your vision, communicate, bring in your own ideas.The person with analytical skills, the ability to manage tons of details easily, and think fast.You also listen and hear other points of view, can look with another person’s eyes. You have a positive mindset, passion for software development, and get the job done. From a technical perspective, we expect you to know how to process and store a lot of data, use async IO whenever possible, and write human-readable code. Anything else? — We will pay for your professional development — conferences, courses, books etc.— You will be able to work remotely occasionally (before & after COVID)— Unlimited vacation (yeah, really) — Self-education Fridays",Senior Backend Engineer / C# .NET / Data Team@YouScan,https://jobs.dou.ua/companies/youscan/vacancies/12430/?from=list_hot, Kyiv,Senior Backend Engineer / C# .NET / Data Team,23 September 2020,,2020-10-13,,dou
https://jobs.dou.ua/companies/septa-digital-agency/,Perion,"{""Required skills"": [""3+ year of a full-time data analytics experience"", ""Expert SQL coding skills against large data sets"", ""Strong analytical skills, including the ability to mine data in order to draw meaningful conclusions"", ""Strong oral and written communications skills"", ""Knowledge of Business Intelligence tools such as Tableau"", ""Spoken English""], ""As a plus"": [""Experience, ideally in an Ad-tech company""], ""We offer"": [""Competitive salary;"", ""Career and professional growth;"", ""Possibility to work on the interesting international project;"", ""Long-term employment with paid vacation and other social benefits;"", ""Opportunities for professional development and personal growth;"", ""15.00"", ""24.00 working hours;"", ""Convenient modern office in the city center;"", ""Training and mentoring.""], ""Responsibilities"": [""Work with business teams to understand their analytical needs, including identifying critical metrics and KPIs"", ""Use analytical and problem-solving skills to deliver actionable insights to relevant decision-makers"", ""Develop rich interactive visualizations integrating various reporting components from multiple data sources"", ""Use SQL, Tableau, and other technologies to pull data from different backend systems and produce meaningful information and visualizations"", ""Take complicated problems and build simple frameworks"", ""Work directly with users and management to gather requirements, provide status updates, and build good relationships and rapport""], ""Project description"": [""At Undertone, we sit at the intersection of media, creative, and technology. We have formed deep partnerships with the world\u2019s best digital media properties, developed a suite of groundbreaking multi-screen creative formats for brands to leverage, and built technology platforms that underpin every aspect of campaign planning, delivery, optimization, and measurement.Undertone\u2019s Data Management Service (UDMS) is a big data, cloud-based data warehouse, dashboard and reporting environment. Are you a data rock star? Do you want to help enable a data-driven organization? This is your opportunity to join a mission-critical team, at an innovative company in an industry just beginning to harness the power of data.As a member of the Undertone\u2019s UDMS Team, the Data Analyst drives value by providing provocative, differentiating analytics and insights. This position will support a wide variety of business intelligence efforts across Undertone while working in a highly collaborative manner within multiple large, cloud-based data sources to identify insights and spearhead our next-generation product offerings. Most importantly, you should \u201clove\u201d the data, working with data, finding the nuance that leads to key differentiation for the business and our customers. This is high visibility analytics and consulting position requiring daily interaction with business users, data scientists, engineers, and key stakeholders.""]}",,"Required skills • 3+ year of a full-time data analytics experience• Expert SQL coding skills against large data sets• Strong analytical skills, including the ability to mine data in order to draw meaningful conclusions• Strong oral and written communications skills• Knowledge of Business Intelligence tools such as Tableau• Spoken English As a plus Experience, ideally in an Ad-tech company We offer • Competitive salary;• Career and professional growth;• Possibility to work on the interesting international project;• Long-term employment with paid vacation and other social benefits;• Opportunities for professional development and personal growth;• 15.00 — 24.00 working hours;• Convenient modern office in the city center;• Training and mentoring. Responsibilities • Work with business teams to understand their analytical needs, including identifying critical metrics and KPIs• Use analytical and problem-solving skills to deliver actionable insights to relevant decision-makers• Develop rich interactive visualizations integrating various reporting components from multiple data sources• Use SQL, Tableau, and other technologies to pull data from different backend systems and produce meaningful information and visualizations• Take complicated problems and build simple frameworks• Work directly with users and management to gather requirements, provide status updates, and build good relationships and rapport Project description At Undertone, we sit at the intersection of media, creative, and technology. We have formed deep partnerships with the world’s best digital media properties, developed a suite of groundbreaking multi-screen creative formats for brands to leverage, and built technology platforms that underpin every aspect of campaign planning, delivery, optimization, and measurement.Undertone’s Data Management Service (UDMS) is a big data, cloud-based data warehouse, dashboard and reporting environment. Are you a data rock star? Do you want to help enable a data-driven organization? This is your opportunity to join a mission-critical team, at an innovative company in an industry just beginning to harness the power of data.As a member of the Undertone’s UDMS Team, the Data Analyst drives value by providing provocative, differentiating analytics and insights. This position will support a wide variety of business intelligence efforts across Undertone while working in a highly collaborative manner within multiple large, cloud-based data sources to identify insights and spearhead our next-generation product offerings. Most importantly, you should “love” the data, working with data, finding the nuance that leads to key differentiation for the business and our customers. This is high visibility analytics and consulting position requiring daily interaction with business users, data scientists, engineers, and key stakeholders.",Data Analyst@Perion,https://jobs.dou.ua/companies/septa-digital-agency/vacancies/130872/, Kyiv,Data Analyst,12 October 2020,,2020-10-13,,dou
https://jobs.dou.ua/companies/septa-digital-agency/,Perion,"{""Required skills"": [""MSc degree in Data Science, Statistics, Math, Physics, Engineering, or a similar relevant subject"", ""3+ years of hands-on experience as Data Scientist"", ""Vast experience in SQL, Python, and spark"", ""statistical modeling experience, analytical skills, and engineering skills"", ""Ability to quickly learn new technologies, frameworks, and algorithms""], ""We offer"": [""Competitive salary;"", ""Career and professional growth;"", ""Possibility to work on the interesting international project;"", ""Long-term employment with paid vacation and other social benefits;"", ""Opportunities for professional development and personal growth;"", ""Convenient modern office in the city center;"", ""Training and mentoring.""], ""Responsibilities"": [""Deploying models and systems to production by applying data-driven Machine Learning and AI solutions end to end, starting from research and design to development and testing."", ""Explain results and insights to product & business throughout the process."", ""Perform research & analysis to solve complex problems using advanced AI technologies (deep learning, re-enforcement learning, time-series, NLP...)"", ""Work closely with product, data engineers, and the R&D teams to deliver the best solution to the business."", ""Run research and POCs for new technologies and tools as part of our continuous improvement life cycle."", ""Make sure the solution is stable, scalable, and provides accurate results at all times.""], ""Project description"": [""Perion is a global technology company that provides digital advertising technology solutions to the biggest brands and publishers around the globe. With our unique data-driven AI/ML based technologies, we deliver and optimize hundreds of terabytes of data and billions of events per day from dozens of sources to provide a superior user experience across screens and platforms, including mobile, video, social and native.""]}",,"Required skills • MSc degree in Data Science, Statistics, Math, Physics, Engineering, or a similar relevant subject• 3+ years of hands-on experience as Data Scientist• Vast experience in SQL, Python, and spark • statistical modeling experience, analytical skills, and engineering skills• Ability to quickly learn new technologies, frameworks, and algorithms We offer • Competitive salary;• Career and professional growth;• Possibility to work on the interesting international project;• Long-term employment with paid vacation and other social benefits;• Opportunities for professional development and personal growth;• Convenient modern office in the city center;• Training and mentoring. Responsibilities • Deploying models and systems to production by applying data-driven Machine Learning and AI solutions end to end, starting from research and design to development and testing.• Explain results and insights to product & business throughout the process.• Perform research & analysis to solve complex problems using advanced AI technologies (deep learning, re-enforcement learning, time-series, NLP...) • Work closely with product, data engineers, and the R&D teams to deliver the best solution to the business.• Run research and POCs for new technologies and tools as part of our continuous improvement life cycle.• Make sure the solution is stable, scalable, and provides accurate results at all times. Project description Perion is a global technology company that provides digital advertising technology solutions to the biggest brands and publishers around the globe. With our unique data-driven AI/ML based technologies, we deliver and optimize hundreds of terabytes of data and billions of events per day from dozens of sources to provide a superior user experience across screens and platforms, including mobile, video, social and native. We are looking for a highly skilled Data scientist to join our Data Science Group to the journey of leveraging Big Data to revolutionize our offering, business operations and decision making across the company’s ecosystem.",Data scientist@Perion,https://jobs.dou.ua/companies/septa-digital-agency/vacancies/131574/, Kyiv,Data scientist,12 October 2020,,2020-10-13,,dou
https://jobs.dou.ua/companies/healthprecision/,healthPrecision,"{""Required skills"": [""Advanced knowledge of English;"", ""Experience at pharmaceutical/biotechnology companies and/or consulting firms a plus but not required;"", ""Strong critical thinking and analytical skills;"", ""Trustworthy"", ""ability to handle confidential information.""], ""Responsibilities"": [""Medical Expert should also have the ability to gather, compile, and analyze research and program evaluation data and present reports and summaries in written, tabular, and graphic form.Requires a blend of technical aptitude, data management experience and the ability to communicate well with internal and external customers.""], ""Project description"": [""Medical Brain is a product company. We made the high-end Medical Decision Support solution that successfully supports hospitals and medical doctors in the USA, Canada and all over the world to provide the best service and save lives.""]}",,"Required skills — Advanced knowledge of English;— Experience at pharmaceutical/biotechnology companies and/or consulting firms a plus but not required;— Strong critical thinking and analytical skills;— Trustworthy — ability to handle confidential information. Responsibilities Medical Expert should also have the ability to gather, compile, and analyze research and program evaluation data and present reports and summaries in written, tabular, and graphic form.Requires a blend of technical aptitude, data management experience and the ability to communicate well with internal and external customers. Project description Medical Brain is a product company. We made the high-end Medical Decision Support solution that successfully supports hospitals and medical doctors in the USA, Canada and all over the world to provide the best service and save lives. Our offices are located in the USA and Ukraine (Kiev, Lvov and Cherkassy). We are the professional medical doctors, passionate IT developers and bright managers. We are enthusiastic and dedicated to our mission — to help bring people to a healthier state and empower them to maintain it. medicalbrain.com",Medical Expert to Data Science team in Cherkassy@healthPrecision,https://jobs.dou.ua/companies/healthprecision/vacancies/131413/, Cherkasy,Medical Expert to Data Science team in Cherkassy,12 October 2020,,2020-10-13,,dou
https://jobs.dou.ua/companies/geozilla/,GeoZilla,"{""Required skills"": [""We are looking for a talented data scientist with strong engineering background to kick start an exciting new direction in our well established consumer app business.You will be responsible for designing and building ML based solution which predict safety hazards before they happen, and work on improving our product quality by optimising the accuracy of our location data.""], ""We offer"": [""Requirements:"", ""Bachelor\u2019s degree in statistics, applied mathematics, or related discipline;"", ""4+ years experience in data science;"", ""Proficiency with data mining, mathematics, and statistical analysis;"", ""Advanced pattern recognition and predictive modeling experience;"", ""Excellent analytical and problemsolving skills;"", ""Experience in database interrogation and analysis tools, such asZeppelin, Anaconda, Pandas, ScikitLearn, Jupyter, SQL, Spark;"", ""Experience in programming languages and Python, Scala;"", ""Communication and presentation skills in order to explain your work to people who don\u2019t understand the mechanics behind data analysis;"", ""Effective listening skills in order to understand the requirements of the business;"", ""Drive and the resilience to try new ideas if the first one doesn\u2019t work you\u2019ll be expected to work with minimal supervision, so it\u2019s important that you\u2019re able to motivate yourself;"", ""Planning, time management and organisational skills;"", ""Great attention to detail;"", ""Teamworking skills and a collaborative approach to sharing ideas and finding solutions.""], ""Responsibilities"": [""Competitive salary"", ""Possibility of remote work"", ""Medical insurance"", ""In-house English courses"", ""Great office location"", ""Fun working environment""], ""Project description"": [""Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions;"", ""Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies;"", ""Assess the effectiveness and accuracy of data sources and data gathering techniques;"", ""Develop custom data models and algorithms to apply to data sets;"", ""Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business out comes;"", ""Develop company A/B testing framework and test model quality;"", ""Coordinate with different functional teams to implement models and monitor outcomes;"", ""Develop processes and tools to monitor and analyse model performance and data accuracy.""]}",,"Required skills We are looking for a talented data scientist with strong engineering background to kick start an exciting new direction in our well established consumer app business.You will be responsible for designing and building ML based solution which predict safety hazards before they happen, and work on improving our product quality by optimising the accuracy of our location data. Requirements:— Bachelor’s degree in statistics, applied mathematics, or related discipline;— 4+ years experience in data science;— Proficiency with data mining, mathematics, and statistical analysis;— Advanced pattern recognition and predictive modeling experience; — Excellent analytical and problemsolving skills;— Experience in database interrogation and analysis tools, such asZeppelin, Anaconda, Pandas, ScikitLearn, Jupyter, SQL, Spark;— Experience in programming languages and Python, Scala;— Communication and presentation skills in order to explain your work to people who don’t understand the mechanics behind data analysis;— Effective listening skills in order to understand the requirements of the business;— Drive and the resilience to try new ideas if the first one doesn’t work you’ll be expected to work with minimal supervision, so it’s important that you’re able to motivate yourself;— Planning, time management and organisational skills;— Great attention to detail;— Teamworking skills and a collaborative approach to sharing ideas and finding solutions. We offer — Competitive salary — Possibility of remote work— Medical insurance— In-house English courses— Great office location— Fun working environment Responsibilities — Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions;— Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies;— Assess the effectiveness and accuracy of data sources and data gathering techniques;— Develop custom data models and algorithms to apply to data sets;— Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business out comes;— Develop company A/B testing framework and test model quality;— Coordinate with different functional teams to implement models and monitor outcomes;— Develop processes and tools to monitor and analyse model performance and data accuracy. Project description The people here at GeoZilla don’t just create apps — they create the kind of wonder that offers peace of mind to millions of families worldwide. It’s the team’s synergy and its vision that inspire the innovation that runs through everything we do, from amazing technology to partnerships with the industry-leading IoT. Join GeoZilla, and help us make families worldwide feel safer. With over four million registered users on iOS and Android, backed by five years of R&D, GeoZilla is working to make millions of families worldwide safer.More information about GeoZilla can be found on the site www.geozilla.com.",Data Scientist@GeoZilla,https://jobs.dou.ua/companies/geozilla/vacancies/128768/, Kyiv,Data Scientist,12 October 2020,,2020-10-13,,dou
https://jobs.dou.ua/companies/parimatch-tech/,Parimatch Tech,{},,"Our product is a fraud-detection platform, specially designed for betting business. We started 1.5 years ago with a team created from scratch, dedicated processes and technology stack.Currently we process, store and analyze over half a billion events per day using ML and graph algorithms in real-time. We are going to reach two billion events in a 6-9 month horizon adding more and more detailed data sources. Unlike the majority of fraud-detection products available on the market, we are not wasting time on no-code/low-code and other marketing staff, focusing on our algorithms and business results instead.As a part of Data Science team you will work with challenging problems using a huge variety of data sources (bets, payments, site behaviour data, etc.) detailed, enriched and collected for a long time. — Innovative solution for fraud detection;— Real-time prediction;— Data collection process;— Strategic view and modelling roadmap. — Good knowledge of math and statistics;— Developing model from scratch (problem definition, data collection, feature engineering, model selection, validation, tuning, etc.);— Deep understanding of classical ML Algorithms;— Strong knowledge of Python (numpy, pandas, scikit-learn, etc.);— Good knowledge of PostgreSQL, MS SQL, ClickHouse;— High level of personal responsibility, readiness to commit on projects instead of tasks;— Knowledge sharing abilities. — Experience with at least one DL frameworks (Tensorflow, PyTorch);— Programming background;— Experience with big data technologies;— Degree in Computer Science, Engineering, Mathematics or a related field. — Medical insurance/Sport compensation;— Sport club participation (football, running, basketball or swimming clubs);— 100% paid sick leaves;— 20 working days of paid vacation. — Competitive salary and сonstant encouragement for your efforts and contribution;— Bonuses according to company’s policy;— Welfare (financial support in critical situations);— Gifts for significant life events (marriage, childbirth). — Individual annual training budget with an opportunity to visit paid conferences, training sessions, workshops, etc.;— Free corporate library;— Opportunity to visit our non-stop internal meetups: open talks, IT Pump, etc. as a participant or a speaker and exchange knowledge;— A world-class team of T-shaped skilled professionals that share knowledge and support each other. — Corporate parties and events (Pub Quiz, Carquest, bowling championships, etc.);— PM Foundation activities (social responsibility events);— Weekly events aimed at culture, arts, soft skills development.",Senior Data Scientist for FairPlay Team@Parimatch Tech,https://jobs.dou.ua/companies/parimatch-tech/vacancies/131670/, Kyiv,Senior Data Scientist for FairPlay Team,12 October 2020,,2020-10-13,,dou
https://jobs.dou.ua/companies/reface/,Reface,"{""Required skills"": [""Specialized knowledge:\u25cf Understanding theoretical concepts of statistics/probability, data mining, machine learning.\u25cf Understanding how these theoretical concepts could be applied to real-world problems.\u25cf Knowledge and hands-on experience with Python or other relevant programming languages.\u25cf Knowledge and hands-on experience with any recommender engine tools or frameworks.\u25cf Knowledge and hands-on experience with any visualization tools or frameworks.\u25cf Understanding the developing process of data science projects: CRISP-DM or others.""], ""Responsibilities"": [""Skills and abilities:\u25cf Strong English verbal and written communication skills.\u25cf Ability to work independently with limited supervision.""], ""Project description"": [""Experience:\u25cf Track record in data analysis, data science, machine learning.\u25cf Relevant levels of theoretical knowledge in statistics/probability, data mining, and machine learning.""]}",,"Required skills Specialized knowledge:● Understanding theoretical concepts of statistics/probability, data mining, machine learning.● Understanding how these theoretical concepts could be applied to real-world problems.● Knowledge and hands-on experience with Python or other relevant programming languages.● Knowledge and hands-on experience with any recommender engine tools or frameworks.● Knowledge and hands-on experience with any visualization tools or frameworks.● Understanding the developing process of data science projects: CRISP-DM or others. Skills and abilities:● Strong English verbal and written communication skills.● Ability to work independently with limited supervision. Experience:● Track record in data analysis, data science, machine learning.● Relevant levels of theoretical knowledge in statistics/probability, data mining, and machine learning. Responsibilities ● Collecting, transforming, and preprocessing raw data to prepare it for analysis.● Deriving descriptive statistics out of the preprocessed data.● Building statistical and probabilistic models.● Creating visualizations and analytics reports in the form of dashboards.● Designing, developing, training, and testing data mining, statistical, probabilistic models, and algorithms.● Providing comparative research on different algorithms and models.● Implementing the model in a form that can be easily used by engineers, documenting its interfaces.● Delivering the model in a form that can be easily deployable and maintained. Project description Based on collected data and product usage statistics, candidates are able to create models that affect the improvement of the product metrics. Exploratory data analysis, building recommender engines, statistical models, etc.",Data Scientist@Reface,https://jobs.dou.ua/companies/reface/vacancies/134761/, Kyiv,Data Scientist,12 October 2020,,2020-10-13,,dou
https://jobs.dou.ua/companies/reface/,Reface,"{""Required skills"": [""Specialized knowledge:\u25cf Understanding theoretical concepts of machine learning and neural networks.\u25cf Understanding theoretical concepts of deep learning architectures.\u25cf Understanding how these theoretical concepts could be applied to real-world problems.\u25cf Knowledge and hands-on experience with Python or other relevant programming languages.\u25cf Knowledge and hands-on experience with ML/DL frameworks (PyTorch, TensorFlow etc.).\u25cf Knowledge and hands-on experience with tools for data preprocessing and scraping.""], ""Responsibilities"": [""Skills and abilities:\u25cf Strong English verbal and written communication skills.\u25cf Ability to work independently with limited supervision.""], ""Project description"": [""Experience:\u25cf Track record in deep learning, data science, machine learning.\u25cf Relevant levels of theoretical knowledge in data science and machine learning.""]}",,"Required skills Specialized knowledge:● Understanding theoretical concepts of machine learning and neural networks.● Understanding theoretical concepts of deep learning architectures.● Understanding how these theoretical concepts could be applied to real-world problems.● Knowledge and hands-on experience with Python or other relevant programming languages.● Knowledge and hands-on experience with ML/DL frameworks (PyTorch, TensorFlow etc.).● Knowledge and hands-on experience with tools for data preprocessing and scraping. Skills and abilities:● Strong English verbal and written communication skills.● Ability to work independently with limited supervision. Experience:● Track record in deep learning, data science, machine learning.● Relevant levels of theoretical knowledge in data science and machine learning. Responsibilities ● Collecting, transforming, and preprocessing raw data to prepare it for modeling.● Building machine learning and deep learning models.● Designing, developing, training, and testing models and algorithms.● Providing comparative research on different algorithms and models.● Implementing the model in a form that can be easily used by engineers, documenting its interfaces.● Delivering the model in a form that can be easily deployable and maintained. Project description Based on different types of data, candidates can create machine learning / deep learning models. Ability to work in short iteration cycles (up to 2 weeks) from initial research to PoC prototype. Ability to work simultaneously on multiple tasks. Ability to work in a solo or a small team and be responsible for the final results. Lots of educational and self-educational activities.",Machine Learning Engineer@Reface,https://jobs.dou.ua/companies/reface/vacancies/134760/, Kyiv,Machine Learning Engineer,12 October 2020,,2020-10-13,,dou
