company_link,company_name,employment_type,full_text,key,link,location,position,publish_date,role,salary,scraping_date,seniority_level,source,tags
https://stackoverflow.com/jobs/companies/tib-leibniz-information-centre-for-science-and-technology-and-university-library,TIB – Leibniz Information Centre for Science and Technology and University Library,Full-time,"The National Research Data Infrastructure (NFDI) is an outstanding infrastructure initiative for the science communities in Germany with the aim to harness the great potential of Research Data as a valuable resource for science and research. As of 1st October 2020, the first round of NFDI consortia will receive funding for a period of five years, with the option of a five-year extension. TIB will play a key role in shaping the NFDI from the very beginning. Within this network the Technische Informationsbibliothek (TIB) - Leibniz Information Centre for Science and Technology - is looking to employ two Scientific Software Engineers in the field of Research Data Management (m/f/d) to join the Lab Linked Scientific Knowledge at the earliest possible opportunity. Both positions are initially limited to 3 years with envisioned extension in the context of NFDI. The regular weekly working time is 39.8 hours (full-time). The positions are only suitable for part-time work to a limited extent. The remuneration is based on pay scale group 13 TV-L. You will work in a team to build a national research data infrastructure for chemistry in Germany (NFDI4Chem). NFDI4Chem will be a distributed infrastructure project with more than 30 FTE from IT and science and operates in the wider context of the NFDI in collaboration with eventually 29 further consortia from all areas of science. A detailed project description of NFDI4Chem can be found at https://doi.org/10.3897/rio.6.e55852. Your challenge The vision of NFDI4Chem is the digitalisation of all key steps in chemical research to support scientists in their efforts to collect, store, process, analyse, disclose and re-use research data. This overall goal is addressed by several task areas (TAs). You will be assigned to TA6 Synergies, which is responsible for the coordination of the cross-cutting topics within the NFDI, including cross-domain metadata standards, semantic data annotation and cross-domain mapping of ontologies, as well as the provision of terminology services. You will work closely together with developers, scientists and infrastructure experts from over 25 university and non-university research institutions in a dynamic and inspiring environment. A special focus will be on the collaboration with TA3 Repositories and TA4 Standards. Work Area Development of a data portal for the virtual environment of federated NFDI4Chem repositories and provision of an integrated view of the data sets archived by these repositories Semantic linking of data catalogues and repositories, based on an extendable and adaptable vocabulary framework Development of a metadata harvesting of repositories in NFDI4Chem taking into account different data and metadata standards, APIs, file formats, license information, archiving and publication guidelines and terms of re-use Development of an NFDI4Chem terminology service for a reliable management of chemistry-specific ontologies and vocabularies enabling creation, provision, curation and archiving Development and implementation of a notification service to enable a semantic and interdisciplinary terminology subscription and notification service for the terminology service Your qualities You are equally experienced in frontend and backend development. Your competence is rooted in web software engineering, but you are also familiar with API design and databases. You should be able to think creatively, grasp new knowledge quickly, be able to design and develop innovative software systems and be interested in mastering complex challenges. The following qualifications are mandatory Successfully completed university degree (Master’s degree or equivalent) in Cheminformatics, Bioinformatics, Computer Science or a related field First relevant professional experience, especially proven skills in software development in a team Proficiency in spoken and written English. Proficiency in German is a plus. Excellent, documented proficiency in modern programming languages (esp. Java, JavaScript, Python) and modern software engineering methodologies (esp. agile methods, DevOps, CI/CD) Working knowledge in the development and use of web services (REST APIs, SOAP) Experience with core semantic technologies (RDF, OWL, SPARQL) Experience with graph databases (neo4j) Desirable Experience in development of controlled vocabularies and classifications is a plus Familiarity and interest in scientific data and meta-data management. Familiarity in Natural Language Processing, Artificial Intelligence, Data Analytics or Digital Libraries is an asset. Knowledge of Research Data Management Tools and Services What we offer The Lab Linked Scientific Knowledge is embedded into the Research Group Data Science & Digital Libraries. TIB’s Research and Development Department offers a scientifically and intellectually inspiring work environment with an entrepreneurial mindset embedded in a leading technical university and one of the largest technical information centres being part of the Leibniz Association. The research department at the TIB is relatively young and offers many opportunities. It is our vision to rethink the representation and provision of data and information and to organize them in an Open Research Knowledge Graphs (ORKG) in the future. There is a close cooperation with the L3S Research Centre at Leibniz University Hannover, one of the world's leading research institutes in the field of Web & Data Science, within the Leibniz Joint Lab Data Science & Open Knowledge. Last but not least, we attach great importance to an open and creative working atmosphere in which it is fun to work. Furthermore, we offer Funding for necessary equipment, conference and research visit travel Candidates will work in the context of a national research and innovation project A portfolio of technology components to build on, including ORKG, org, TIB AV-Portal, DBpedia.org and other A modern workplace in a central location of Hanover with a collegial, attractive and versatile working environment Comprehensive and intensive training in an interesting, varied and future-oriented field of activity Flexible working hours (flexitime) as well as offers for reconciling work and family life, such as mobile work, home office and remote work An employer with a wide range of internal and external further education and training measures, workplace health promotion and a supplementary pension scheme for the public sector (VBL) Discount for employees in the canteens of the Studentenwerk Hannover as well as the possibility to use the various offers of the University Sports Hannover A job in the public service with a salary in pay scale group 13 TV-L according to the provisions of the collective agreement for the public service in Germany (TV-L), including a special annual payment and 30 days of vacation per year If you are interested, questions regarding the position can be addressed to Dr. Oliver Koepler (oliver.koepler@tib.eu), head of the Lab Linked Scientific Knowledge. How to apply We look forward to receiving your application. To submit your application, please click here. Paper applications are also possible on an equal basis. In this case, please send your complete application documents with the subject 49/2020 before October 22,2020 addressed to Technische Informationsbibliothek (TIB) Personalservice Herrn Daniel Eilers Welfengarten 1 B 30167 Hannover Germany Or alternatively as a single PDF document file to Bewerbung@tib.eu. For applications in digital from, please send a PDF file with a maximum size of 10 MB. Who we are TIB, being part of the Leibniz Research Association, is with around 550 employees one of the largest technical information centres in Germany, having three main functions: Acting in the capacity of the Leibniz Information Centre for Science and Technology, our forward-looking services secure the infrastructural requirements for providing researchers in science and industry with high-quality information and literature. Carrying out cutting edge research to further expand TIB’s role as a German information centre for the digitisation of science and technology Offer library services for the Leibniz University Hannover. TIB is an equal opportunity employer, providing ideal working conditions, and continuously taking action to enable its employees to combine career interests with family life. Severely disabled candidates with comparable qualifications will be given preferential treatment. Please note that your application documents will not be returned, and application and travel costs cannot be reimbursed. For more information about the TIB, please visit: www.tib.eu/en/ We look forward to receiving your application!",Scientific Software Engineers in the field of Research Data Management@TIB – Leibniz Information Centre for Science and Technology and University Library,https://stackoverflow.com/jobs/443028/scientific-software-engineers-in-the-field-of-tib-leibniz-information,"Hannover, Deutschland",Scientific Software Engineers in the field of Research Data Management,12d ago,,€51k - 73k,2020-10-13,"Junior, Mid-Level",stackoverflow,"java, javascript, python, neo4j, sparql"
https://stackoverflow.comhttp://www.selfdecode.com,Decodify.me LLC,Full-time,"Job Type and Pay: We are looking for a Full Stack Developer. Pay will be in accordance with abilities, skills, experience, hustle, leadership, math/bioinformatics knowledge, level of English proficiency and location. We do not want to waste your time applying, so please look at these bullet points before applying. Full time - we expect people to put in 40 hrs a week or more Fully Remote. NO agencies Minimum of 2-3 years professional coding experience Salary: $15-$35/hr USD as a contractor (around 30k-65k/ year) - depending on skills, speed, experience, proficiency in our tech stack, location, English fluency, leadership abilities, work hustle & drive, personality, plusses listed, etc... Equity is also available for outstanding applicants and those with leadership abilities - people who can take on a leadership role. Highly Desired Skills: Strong English-language communication skills Professional experience with Python Professional experience with a python based web application framework, such as Django or Flask. Experience in Django is preferred. Professional experience with React & Redux or similar front end technologies or frameworks (Angular, Vue, etc...) Proficiency in Typescript Experience with React performance testing and performance optimization (React profiler, server-side rendering, code splitting/lazy loading) Solid command of Javascript, CSS and HTML Well-versed in source control with Git Understanding the differences between multiple delivery platforms (e.g. mobile vs desktop) and optimizing output to match the specific platform (e.g. HTML5, and CSS3) Understanding of accessibility and security compliance Knowledge of user authentication and authorization between multiple systems, servers, and environments Duties: Creating new features related to personalized health based on genetics, labs, and symptoms Developing scalable, easily-maintainable software Optimizing applications for maximum speed and scalability Extending and improving existing internal software systems Software Testing Able to integrate multiple data sources and databases into one system Implement creative and visually-appealing frontend designs Translate designs, wireframes, and mockups into highly-composable code Participating in weekly scrum meetings Plusses Bioinformatics knowledge Math knowledge Knowledge of Wordpress Health enthusiast History of leadership Questions If you have any questions, you can email us at recruiting@selfdecode.com Please finish the application process within a few days after applying. If we see it's unfinished within a week, we will clear your application.",Full Stack Developer (Django + React)@Decodify.me LLC,https://stackoverflow.com/jobs/443400/full-stack-developer-django-plus-react-decodifyme-llc,No office location,Full Stack Developer (Django + React),12d ago,"Data Scientist, Full Stack Developer, System Administrator",$40k - 80k,2020-10-13,"Mid-Level, Senior, Lead",stackoverflow,"r, algorithm, data-science, sysadmin"
https://stackoverflow.com/jobs/companies/komoot,komoot,Full-time,"Millions of people experience real-life adventures with our apps. We help people all over the world discover the best hiking and biking routes, empowering our users to explore more of the great outdoors. And we’re good at it: Google and Apple have listed us as one of their Apps of the Year numerous times – and, with more than 12 million users and 100,000 five-star reviews – komoot is on its way to become one of the most popular cycling and hiking apps. Join our fully remote team of 60+ people and change the way people explore! To help us continue to grow, we ‘re looking for an experienced backend developer with knowledge in data science. Komoot possesses a unique dataset of user-generated content, ranging from GPS data from tours, uploaded photos, and tips, to implicit and explicit user feedback. To get the biggest value from this raw data, we need your excellent software and analytical skills. The challenges include automatic evaluation and classification of our user-generated content as well as innovative approaches to assembling them into consumable inspiration for users (e.g. auto-generated tour suggestions tailored to users’ sport and location). You’ll wrap up your algorithms into clean and scalable microservices in our modern cloud environment. We believe that innovations based on data science will reinforce and extend our leadership in the outdoor market and your role will be decisive for komoot’s success. Your key responsibilities You’ll be challenged with a wide range of tasks for which there are no standard solutions You’ll have full ownership: from concept, prototypes, and building, to deploying and monitoring You’ll deal with diverse datasets (location data, social network, user content (images, text), external data sources like OSM, product analytics, ...) You’ll contribute to a product with a vision to inspire more people to go outdoors You’ll work in a fast-paced startup with strongly motivated and talented co-workers You’ll enjoy the freedom to organize yourself the way you want We let you work from wherever you want, be it a beach, the mountains, your house, a coworking center of your choice, our HQ in Potsdam or anywhere else that lies in any time zone situated between UTC-1 and UTC+3 You’ll travel together with our team to amazing outdoor places several times a year to exchange ideas, learnings and go for hikes and rides Why you will love it Work closely with our data scientists, web and mobile developers, designers, copywriters and product managers Discuss product improvements, technical possibilities and road maps Investigate and evaluate data science approaches for product enhancements (you can count on the support of experienced data scientists) Turn prototypes into resilient and scalable REST APIs and background workers Deploy and monitor your code in our AWS Cloud You will be successful in this position if you Have a passion for finding pragmatic and smart solutions to complex problems Have 3+ years of professional experience in backend development in the cloud Have 2+ years of professional experience in Kotlin/Java/Scala Have 2+ years of professional experience in Python Know SQL and NoSQL Have a solid understanding of math and statistics Have a solid understanding of data science fundamentals Master Jupyter, pandas, NumPy, matplotlib/seaborn, scikit-learn Bonus: BigData experience (Spark, Presto, Hadoop) Bonus: Infrastructure as Code Bonus: Deployment, CI and monitoring Have strong communication and team skills Have a hands-on attitude and are highly self-driven Sounds like you? Send us the following Your CV in English highlighting your most relevant experience A write-up explaining who you are and why you are interested in working at komoot Examples of your work (e.g. GitHub Repositories, PDFs, Slideshare, etc.) Feel free to send us something that shows us a little more about what you’re interested in, be it your Twitter/Instagram account, a blog or something else",Senior Backend Developer / Data Scientist@komoot,https://stackoverflow.com/jobs/407925/senior-backend-developer-data-scientist-komoot,No office location,Senior Backend Developer / Data Scientist,9d ago,"Backend Developer, Data Scientist",,2020-10-13,Senior,stackoverflow,"data-science, java, kotlin, python, amazon-web-services"
https://stackoverflow.com/jobs/companies/komoot,komoot,Full-time,"Millions of people experience real-life adventures with our apps. We help people all over the world discover the best hiking and biking routes, empowering our users to explore more of the great outdoors. And we’re good at it: Google and Apple have listed us as one of their Apps of the Year numerous times and, with more than 12 million users and 100,000 five-star reviews, komoot is on its way to becoming one of the most popular cycling and hiking apps. Join our fully remote team of 60+ people and change the way people explore! To help us grow, we’re looking for an experienced data scientist dedicated to improving our product experience. As a young tech company, we know how user engagement can be boosted by personalisation, recommendations, user-segmentations and smart retention hooks. Using a wide range of different data sets, from common analytics/product data to unusual data sets like GPS recording and social relations, you will drive product enhancements forward that will directly impact 12 million users. We believe that innovations based on data science will reinforce and extend our leadership in the outdoor market and your role will be decisive for komoot’s success. What you will do Work closely with our backend, web and mobile developers, designers, copywriters and product managers Discuss product improvements, technical possibilities and road maps Investigate and evaluate data science approaches for product enhancements Turn prototypes into production systems by writing clean and maintainable code Deploy and monitor your code in our AWS Cloud (you can count on the support of experienced backend engineers) Why you will love it You will be challenged with a wide range of data science tasks (e.g. optimise ranking/composition of a feed, recommend users to follow, churn prediction, personalisation, ...) You will deal with a diverse set of data (location data, social network, user content (images, text), external data source like OSM, product analytics, ...) You will go beyond prototyping and ship your code to production You will contribute to a product with a vision to inspire more people to go outdoors You will work in a fast-paced startup with strongly motivated and talented co-workers You will enjoy the freedom to organize yourself the way you want We let you work from wherever you want, be it a beach, the mountains, your house, coworking center of your choice, our HQ in Potsdam or anywhere else that lies in any time zone situated between UTC-1 and UTC+3 You will travel together with our team to amazing outdoor places several times a year to exchange ideas, learnings and go for hikes and rides You will be successful in this position if you Have a passion for finding pragmatic and smart solutions to complex problems Have a solid understanding of math and statistics Have 3+ years of industry experience in data science Master Jupyter, pandas, NumPy, matplotlib/seaborn, scikit-learn and XGBoost/LightGBM/CatBoost Bonus: TensorFlow, Keras or PyTorch Know SQL Love to write clean, maintainable and tested Python code Have experience productionising your data science solutions Have strong communication and team skills Have a hands-on attitude and are highly self-driven Bonus: Know statically typed languages such as Kotlin/Java/C or Go Bonus: Have cloud experience (e.g. with AWS) Bonus: Have BigData experience (e.g. Spark, Presto, Hadoop) Sounds like you? Then send us the following: Your CV in English highlighting your most relevant experience A write-up explaining who you are and why you are interested in working at komoot Examples of your work (e.g. GitHub Repositories, PDFs, Slideshare, etc.) Feel free to send us something that shows us a little more about what you’re interested in, be it your Twitter/Instagram account, a blog or something else",Senior Data Scientist@komoot,https://stackoverflow.com/jobs/406624/senior-data-scientist-komoot,"Berlin, Germany",Senior Data Scientist,9d ago,Data Scientist,,2020-10-13,Senior,stackoverflow,"amazon-web-services, data-science, machine-learning, python"
https://stackoverflow.com/jobs/companies/heetch,Heetch,Full-time,"ℹ️Important note before applying 🙏🏼 For this role we are only considering candidates located in Paris or near Paris (+ 1h -) so they can come to the office, we’re cool to have you work a couple of days from home as well. Data Science Team @Heetch Deep learning, hyperparameter tuning, parallel computing? Let’s first get the buzzwords out of the way, at Heetch we care about maximizing the impact rather than hype. For us, a data scientist’s main strength lies more in their capacity to proactively seek out stakeholders and build relationships with them. Our team’s mission is to provide valuable data insights to Product squads in order to help them understand what is going on, discover opportunities and take impactful decisions that will later on improve the whole experience for both our drivers and passengers. Our team's values • Transparency: We discuss everything openly within the team. Our 'Speak up' culture is strong. • Learn from failures: It's ok to fail, learn from it and try again. • Experiment things: Being free is part of our DNA, we can try things as long as it brings value. • Caring is sharing: We believe in continuous learning and want you to be proud of what you've learned/built. Sharing is a natural part of the process. What are the challenges Data Scientists face at Heetch? • Navigate through thousands of different datasets. • Identify hidden business opportunities proactively. • Motivate and/or automate data-driven decision-making. • Improve our rules and processes around data quality standards. • Work in one of the most competitive industries with a challenger status. What will you do? • Inside a cross-functional team you will become an expert in your domain’s data. • Influence the team roadmap and priorities via product and business analysis. • Design experiments such as A/B tests. • Develop and present business intelligence dashboards. • Work alongside developers, designers, product managers. • Uncover hidden opportunities for growth and efficiency for Heetch. Does it sound like you? • You have some data manipulation experience (regardless of languages and tools). • You create clear and powerful data visualizations (dashboards, presentations...) • You can communicate effectively with colleagues from various backgrounds and technical levels. • You enjoy specifying data manipulation pipelines to extract value for the company, whether it’s in the form of code, query languages, visual tools or documentation. • You want to steer the company in the right direction in terms of data quality standards. • You are fluent in English (it’s the language we use within the company, because hey we’re an international team 🙂 ) What's next? If your application is selected, the process will be composed of 4 steps: 1. Interview with a Technical Recruiter (45mn). 2. Take home assignment (~5 days deadline). 3. Interview with your future Data Science Manager (1h). 4. Half day on site (Paris) to meet your future teammates and stakeholders.",Senior Data Scientist@Heetch,https://stackoverflow.com/jobs/423552/senior-data-scientist-heetch,"Paris, France",Senior Data Scientist,3d ago,Data Scientist,Equity,2020-10-13,"Mid-Level, Senior",stackoverflow,"data-science, algorithm, data-manipulation, data-visualization"
https://stackoverflow.com/jobs/companies/smart-steel-technologies-gmbh,Smart Steel Technologies GmbH,Full-time,"APPLYING MACHINE LEARNING TO PROCESSES, NOT PEOPLE At Smart Steel Technologies, we are building a one-of-a-kind cross-disciplinary team, uniting the worlds of steel and machine learning. Our team has come together from a diverse set of academic and professional backgrounds: software development, computer science, mathematics, physics, and metallurgy. Our goal is to leverage this expertise through trust and cooperation. We want to foster an environment where team members have frequent opportunities to learn from each other in fields that they are not (yet) experts. The machine learning and data science we employ comes in several varieties: image processing, signal processing, classical supervised modeling, unsupervised methods, exploratory data analysis, and fundamental statistics and probability. We are grateful to stand on the shoulders of the open source giants. We use NumPy-flavored Python3 as the basis for our development, taking advantage of the availability of libraries designed for both software engineering and data science, ranging from Flask to SciPy, SQLAlchemy to Keras, Jupyter to Pandas, and many more. When Python’s time or space complexity becomes a constraint, we turn to modern C++. When we require client-side browser-based interactivity, we turn to JavaScript. As a python backend developer, your specific expertise as well as your motivation would be the major factors in determining your day-to-day work. ABOUT THE JOB Develop, implement and maintain innovative software for industrial systems Leverage your own experience and expertise by bringing up your inventive ideas Work alongside machine learning engineers to optimize visualizations and product experience Create data pipelines that are directly integrated into industrial production processes Develop data-oriented backends for customer-facing web applications QUALIFICATIONS THAT CATCH OUR EYE Bachelor’s, Master’s or Ph.D. in Computer Science, Statistics, Mathematics, Physics or Engineering Experience working with a variety of databases Experience in data engineering Experience working alongside and within a Python server framework, especially Flask Experience in Linux is a must Knowledge of machine learning technologies is a plus Fluency in German or Russian is a plus; English is required BENEFITS Transparency of business strategies Autonomy balanced by responsibility Cohesive, multidisciplinary team Meaningful industrial problems Modern machine learning techniques Modern software stack Sleek, new office located in Berlin Professional educational opportunities German language courses and public transport included Free drinks and fruits",Python Backend Developer (m/f/d) - Industrial Data Science and Software@Smart Steel Technologies GmbH,https://stackoverflow.com/jobs/334428/python-backend-developer-m-f-d-industrial-smart-steel-technologies-gmbh,"Berlin, Germany",Python Backend Developer (m/f/d) - Industrial Data Science and Software,8d ago,"Backend Developer, Data Scientist",,2020-10-13,"Junior, Mid-Level, Senior",stackoverflow,"python, flask, backend, database, python-3.x"
https://stackoverflow.com/jobs/companies/audatic-gmbh,Audatic GmbH,Full-time,"At Audatic, we are shaping the future of hearing experience using state-of-the-art deep-learning and unique datasets. Our technology allows noise-free interactions in busy places which is crucial for people with hearing impairment. Our work helps to improve lives. As we are growing, we are searching for an experienced Software Engineer / Data Scientist who enjoys creating beautiful software frameworks and working with large datasets. As part of our software engineering team you will get the opportunity to immerse yourself in cutting-edge research while working very closely with the Deep Learning team to implement a supporting infrastructure. Responsibilities: Create, test and improve audio datasets covering a variety of environments and settings. Develop and analyse audio pre-and post-processing methods. Build and maintain infrastructure to support research development (proprietary tools and features, database management, testing infrastructure). Report and present outcomes in a clear and compelling way. About you: Minimum qualifications: MSc in a technical field or equivalent practical experience Good academic record Good communication skills At least 2 years of experience in writing clean and well documented Python Excited to work in a team and come up with new ideas Preferred qualifications: PhD in a technical field or 2 years of practical experience on software development or data science Knowledge of Linux/Ubuntu and automation tools Excited about: Audio processing Software Architecture Deep learning Medical technology In addition to a competitive salary and equity package, you can expect the following: Support for professional development and further learning (international conferences, online resources…). An international team, open minded colleagues and a friendly atmosphere. Company-sponsored retreats. Free everyday lunch, drinks and snacks . 30 days of vacation a year. We are an equal-opportunity employer and value diversity. We consider all applications equally regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, or gender identity. We strongly encourage individuals from groups traditionally underrepresented in tech to apply, and we can help with immigration. We are looking for evidence of exceptional ability and a track record of building things that work. If our vision appeals to you please don’t hesitate to apply, we are looking forward to getting to know you.",Software Engineer / Data Scientist@Audatic GmbH,https://stackoverflow.com/jobs/286051/software-engineer-data-scientist-audatic-gmbh,"Berlin, Germany",Software Engineer / Data Scientist,15d ago,Data Scientist,,2020-10-13,"Junior, Mid-Level, Senior",stackoverflow,"deep-learning, python, ubuntu, tensorflow"
https://stackoverflow.com/jobs/companies/smart-steel-technologies-gmbh,Smart Steel Technologies GmbH,Full-time,"APPLYING MACHINE LEARNING TO PROCESSES, NOT PEOPLE At Smart Steel Technologies, we are building a one-of-a-kind cross-disciplinary team, uniting the worlds of steel and machine learning. Our team has come together from a diverse set of academic and professional backgrounds: software development, computer science, mathematics, physics, and metallurgy. Our goal is to leverage this expertise through trust and cooperation. We want to foster an environment where team members have frequent opportunities to learn from each other in fields that they are not (yet) experts. The machine learning and data science we employ comes in several varieties: image processing, signal processing, classical supervised modeling, unsupervised methods, exploratory data analysis, and fundamental statistics and probability. As a frontend software engineer, your specific expertise as well as your motivation would be the major factors in determining your day-to-day work. We are grateful to stand on the shoulders of the open source giants. We use NumPy-flavored Python3 as the basis for our development, taking advantage of the availability of libraries designed for both software engineering and data science, ranging from Flask to SciPy, SQLAlchemy to Keras, Jupyter to Pandas, and many more. When Python’s time or space complexity becomes a constraint, we turn to modern C++. When we require client-side browser-based interactivity, we turn to JavaScript. HOW WE DEFINE THE FRONTEND Currently, we use Python’s Flask with Jinja templating to deliver visualizations and interfaces powered by HighCharts, Bootstrap and jQuery. This means that, for us, the frontend starts with Python and ends with whatever is possible in the user’s browser. We do not aim to build single page applications or dashboards, rather interfaces whose usability for process engineers is competitive with the desktop applications that have been battle tested for decades. The ideal frontend that we work towards is not isolated from the rest of the development team, but instead utilized to more effectively bring a cohesive product to our customers. In order to meet this goal, it is our impression that the proper abstraction layer does not exist between Python and JavaScript, rather within JavaScript itself. The role of the frontend software engineer is then to develop and maintain a JavaScript API that abstracts complexity away from teammates that are focused on other components of the product, while also developing and solidifying the frontend’s role in the greater product stack. ABOUT THE JOB Collaboratively develop, design, and deploy interactive, dynamic UX solutions Leverage your own experience and expertise to guide the shape of the frontend Work alongside machine learning engineers to optimize visualizations and product experience Define, develop and maintain the role of the frontend within the product technology stack QUALIFICATIONS THAT CATCH OUR EYE A significant technical background with a transition to a design-oriented role, or a significant design-oriented background with a transition to a technical role Experience creating responsive layouts that adhere to principles of usability, compatibility and accessibility Experience developing browser-based visualizations of time series or other industrial data Experience working alongside and within a Python server framework, especially Flask Fluency in German or Russian is a plus; English is required BENEFITS Transparency of business strategies Autonomy balanced by responsibility Cohesive, multidisciplinary team Meaningful industrial problems Modern machine learning techniques Sleek, new office located in Berlin Professional educational opportunities German language courses and public transport included Free drinks and fruits",Frontend Software Engineer (m/f/d) - Industrial Data Science and Software@Smart Steel Technologies GmbH,https://stackoverflow.com/jobs/307564/frontend-software-engineer-m-f-d-industrial-smart-steel-technologies-gmbh,"Berlin, Germany",Frontend Software Engineer (m/f/d) - Industrial Data Science and Software,8d ago,"Data Scientist, Designer, Frontend Developer",,2020-10-13,"Junior, Mid-Level, Senior",stackoverflow,"javascript, css, frontend, user-experience, user-interface"
https://stackoverflow.com/jobs/companies/tripaneer,Tripaneer,Full-time,"Who is Tripaneer? We are a fast-growing themed travel marketplace based in the heart of Amsterdam. We enable our customers to live unforgettable travel experiences via our 11 category sites from yoga retreats to safaris. Full-time and long term | Join our international team in Amsterdam As a Data Scientist at Tripaneer, you love using data to find areas of improvement which enable the business to grow. At Tripaneer, you will be responsible for guiding and supporting the team with data, reports and models, specifically our Marketing department. As we have a strong focus on growth, your analysis and models will need to be pragmatic and geared to the current focus of the company. You will work on generating new datasets and perform analysis from operational to managerial level. Additionally, you work on pragmatic algorithmic solutions to support the Marketing department in meeting their growth objectives. The analysis you perform can range from very high-level (e.g. How do we define customer attrition and what are the factors that lead to better retention?) to mid-level (e.g. Can we predict high intent customers depending on their behavior in order to tune our retargeting dynamically?) to detail-level (e.g. Are there significant behavioral differences in the customer journey for a particular experiment?). You will work in close collaboration with stakeholders from various teams and levels throughout the organization. Responsibilities: Build pragmatic models that can run in our high volume production environment to improve our products Collaborate and communicate with the Marketing, Supply, and Product Teams to understand business needs and proactively find the most relevant questions and areas for further research Help define KPI’s and metrics that are measurable and closest to overall business performance Gather and analyze data to validate or invalidate common assumptions about the business Build dashboards and reports around growth initiatives and business priorities Facilitate a data-driven culture (Eg: by presenting your analyses, finding areas for improvement in data and explaining those, empowering stakeholders to find and explore their own data, etc.) Requirements 3+ years of experience in a relevant role (Data scientist, Data analyst) Experience in mapping of customer journey and attribution models is a plus Proficient in data mining and advanced modeling techniques including predictive modeling using R and/or Python Proficiency in both SQL and Python is a must Experience with Hadoop, Hive, Spark and similar tools Degree in Computer Science, Math, Statistics or similar quantitative field. Strong technical skills, statistics and the ability to draw business insights from data Excellent communication skills (both verbal and written), ability to convey complex analysis results clearly to all levels of stakeholders Experience in a start up environment is a plus Perks & Benefits: Young, enthusiastic, international working environment Opportunity to make an impact in a fast-growing tech scaleup 25 days holiday Shortlisted candidates will be invited for a Skype interview. All application documents shall be treated with the strictest confidence.",Data Scientist@Tripaneer,https://stackoverflow.com/jobs/423571/data-scientist-tripaneer,"Amsterdam, Netherlands",Data Scientist,5h ago,Data Scientist,,2020-10-13,Mid-Level,stackoverflow,"r, python, hadoop, machine-learning, amazon-redshift"
https://stackoverflow.com/jobs/companies/causalens,causaLens,Full-time,"Summary We are looking for a motivated and high-achieving Data Scientist - Applied Science based in London to join the team on our vision to optimise every business on the planet. This is a full-time placement with significant opportunities for personal development. We offer an intellectually stimulating environment, work within an interdisciplinary team and an inclusive culture. We are a high-calibre, mission-driven team building a technology that improves our world. Roles and Responsibilities This is an exciting role for a smart, creative person with a strong technical background and desire to apply his/her skills in a stimulating scientific environment.Your work will include: Prototyping applied research that goes into the product Helping shape the future direction of the technology Helping customers integrate our technology Helping customers solve problems using our technology Research and evaluation of novel use-cases for the causaLens technology Job requirements This role is open for candidates of all seniorities, junior to senior. Strong academic record (MEng, MSci, EngD or PhD). Demonstrated ability to discover the business potential of novel technologies Advanced quantitative skills in machine learning/statistics/mathematics or similar fields Ability to apply complex technologies in novel high-value use-cases An excellent written and verbal communicator with a high level of business acumen Highly capable, self-motivated, collaborative and personable High integrity and drive Naturally curious and effective problem solver Ability to effectively work independently in a fast-moving environment Strong coding skills. Preferably in Python",Data Scientist - Applied Science@causaLens,https://stackoverflow.com/jobs/439135/data-scientist-applied-science-causalens,"London, UK",Data Scientist - Applied Science,21d ago,Data Scientist,"£30k - 70k

                                 | 
Equity",2020-10-13,"Junior, Mid-Level, Senior",stackoverflow,python
